city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
manaure,co,2017-09-09 10:00:00,-72.44,11.78,82.4,78.0,75.0,5.82
manaus,br,2017-09-09 10:00:00,-60.03,-3.1,95.0,47.0,40.0,6.93
mangaluru,in,2017-09-09 10:00:00,74.88,12.87,78.8,94.0,75.0,3.36
mangrol,in,2017-09-09 10:37:27,70.12,21.12,78.92,94.0,8.0,9.19
maniitsoq,gl,2017-09-09 10:37:27,-52.9,65.42,38.96,100.0,92.0,29.55
manitouwadge,ca,2017-09-09 10:00:00,-85.84,49.12,57.2,62.0,40.0,5.82
mar del plata,ar,2017-09-09 10:00:00,-57.56,-38.0,53.6,100.0,90.0,11.41
maragogi,br,2017-09-09 10:37:28,-35.22,-9.01,75.95,93.0,88.0,13.44
marawi,sd,2017-09-09 10:37:28,31.82,18.48,90.08,26.0,0.0,2.59
marcona,pe,2017-09-09 10:37:29,-75.16,-15.37,59.84,95.0,0.0,14.23
margate,za,2017-09-09 10:37:29,30.37,-30.86,65.15,96.0,8.0,8.63
margraten,nl,2017-09-09 09:55:00,5.82,50.82,60.8,82.0,92.0,9.17
marienburg,sr,2017-09-09 09:00:00,-55.02,5.85,93.2,55.0,20.0,4.7
marsh harbour,bs,2017-09-09 10:37:30,-77.06,26.54,87.11,94.0,68.0,29.33
mastung,pk,2017-09-09 10:37:30,66.84,29.8,62.09,32.0,48.0,2.15
maxixe,mz,2017-09-09 10:37:30,35.35,-23.86,69.74,100.0,0.0,8.63
melbu,no,2017-09-09 10:37:31,14.83,68.5,54.35,84.0,0.0,16.13
merano,it,2017-09-09 09:55:00,11.16,46.67,69.8,64.0,75.0,4.7
middelburg,za,2017-09-09 10:37:31,29.46,-25.78,68.84,27.0,100.0,2.59
mineros,bo,2017-09-09 10:00:00,-63.23,-17.12,95.0,34.0,20.0,27.51
miranda de ebro,es,2017-09-09 10:15:00,-2.95,42.69,62.6,71.0,40.0,12.75
miranorte,br,2017-09-09 10:37:32,-48.36,-9.49,99.35,24.0,48.0,8.41
